V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
Casual,Average,0.0,free,Winter,v-neck,full,,cashmere,,,solid
Casual,low,4.7,free,Summer,o-neck,capsleeves,natural,chiffonfabric,chiffon,,print
Casual,Average,4.7,M,Summer,o-neck,thressqatar,,chiffonfabric,chiffon,ruched,solid
Sexy,low,4.5,free,Summer,slash-neck,sleevless,,polyster,Corduroy,,
vintage,low,4.0,free,Summer,turndowncollor,short,natural,cotton,wollen,hollowout,solid
Sexy,low,4.7,free,Summer,v-neck,sleevless,,,,,
bohemian,low,5.0,free,Summer,o-neck,sleevless,empire,cotton,broadcloth,tassel,print
Casual,low,4.7,S,Winter,o-neck,sleeevless,natural,knitting,,lace,solid
Sexy,Average,4.5,S,Winter,v-neck,sleevless,,polyster,,,
cute,Average,4.7,M,Summer,o-neck,sleevless,natural,chiffonfabric,,sashes,splice
vintage,Low,0.0,free,Summer,o-neck,sleevless,natural,cotton,batik,,print
Casual,Average,4.1,L,winter,o-neck,sleevless,natural,polyster,,,
Casual,Average,4.2,M,winter,v-neck,full,empire,polyster,,lace,patchwork
Brief,Average,4.8,free,winter,v-neck,halfsleeve,natural,polyster,broadcloth,,solid
Brief,Average,4.9,free,Winter,o-neck,sleevless,natural,,,,solid
Sexy,Average,4.8,S,Winter,v-neck,sleevless,empire,polyster,chiffon,lace,solid
Casual,Average,4.7,L,Winter,o-neck,sleevless,natural,polyster,chiffon,,patchwork
vintage,Average,4.7,M,Summer,v-neck,short,natural,rayon,,beading,print
Casual,Average,4.8,free,Summer,o-neck,sleevless,natural,cotton,chiffon,sashes,solid
Sexy,Low,4.7,M,Winter,v-neck,sleevless,natural,polyster,,,striped
Casual,Average,5.0,s,Spring,turndowncollor,full,empire,cotton,worsted,,solid
Casual,Low,1.0,M,Spring,o-neck,halfsleeve,,,chiffon,,
Sexy,Average,4.1,free,Summer,v-neck,sleevless,natural,cotton,,lace,
Casual,Low,4.0,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,hollowout,print
work,Average,4.7,M,Spring,v-neck,sleevless,,,,,
cute,Average,4.6,free,Spring,v-neck,full,natural,cotton,chiffon,,solid
Casual,Low,5.0,M,Spring,o-neck,sleevless,natural,spandex,jersey,,print
Casual,Average,4.7,M,Automn,v-neck,sleevless,natural,,chiffon,,striped
Casual,low,4.6,free,winter,o-neck,full,natural,polyster,,applique,solid
Casual,Average,4.5,L,Summer,o-neck,short,natural,cotton,jersey,pockets,solid
cute,Average,4.6,M,Automn,o-neck,thressqatar,natural,silk,chiffon,sashes,print
Casual,Low,4.6,free,Automn,o-neck,halfsleeve,natural,chiffonfabric,chiffon,,leapord
Casual,Low,4.7,L,Summer,,sleevless,,cotton,,,solid
Sexy,Low,0.0,L,Summer,o-neck,sleevless,empire,sill,,,striped
bohemian,Average,4.0,free,Winter,o-neck,sleevless,natural,polyster,chiffon,ruffles,striped
Casual,low,4.7,free,Summer,o-neck,full,natural,cotton,,,solid
work,Average,0.0,M,Summer,v-neck,sleevless,natural,cotton,worsted,,solid
bohemian,Average,4.1,free,Summer,o-neck,thressqatar,,,,hollowout,
Casual,Average,0.0,M,Spring,o-neck,halfsleeve,natural,,,lace,
Brief,Low,4.6,M,Summer,o-neck,short,natural,cotton,,,animal
cute,Low,0.0,free,Spring,v-neck,sleevless,empire,chiffonfabric,chiffon,,
Casual,Average,5.0,M,Spring,o-neck,thressqatar,,spandex,,,
Casual,Low,5.0,free,winter,o-neck,full,natural,wool,,applique,solid
vintage,Average,4.5,L,winter,o-neck,short,empire,,,sequined,patchwork
Casual,Average,4.5,free,Summer,o-neck,short,natural,polyster,,,solid
bohemian,Low,4.4,L,Summer,bowneck,short,natural,cotton,,,dot
Casual,high,0.0,L,winter,v-neck,thressqatar,natural,polyster,,ruffles,solid
Casual,Average,4.8,free,winter,o-neck,sleevless,,polyster,,sashes,solid
Brief,Low,4.7,M,Winter,o-neck,full,natural,cotton,,,patchwork
Casual,Medium,0.0,free,Winter,bowneck,full,,cashmere,knitted,,solid
Casual,Average,4.7,M,Winter,o-neck,short,empire,polyster,shiffon,,animal
party,Average,0.0,M,Summer,o-neck,full,natural,cotton,,,patchwork
bohemian,Average,4.8,S,Summer,v-neck,short,natural,cotton,,,solid
Sexy,Average,4.9,free,Summer,sqare-collor,sleevless,natural,polyster,,sashes,print
Casual,Average,3.0,M,Spring,turndowncollor,short,empire,polyster,,sashes,patchwork
Casual,low,4.7,L,Automn,o-neck,short,natural,polyster,shiffon,,patchwork
Casual,Average,4.3,M,Automn,o-neck,sleevless,natural,polyster,,plain,solid
Casual,Average,0.0,XL,Winter,v-neck,short,empire,polyster,shiffon,pockets,solid
Casual,Low,5.0,free,Summer,o-neck,sleevless,natural,model,jersey,plain,solid
vintage,Average,0.0,L,Summer,sqare-collor,short,empire,cotton,chiffon,,dot
Casual,Low,4.7,free,winter,o-neck,sleevless,natural,milksilk,,,animal
vintage,Average,5.0,M,Summer,v-neck,thressqatar,natural,polyster,,,print
Casual,Low,4.7,L,Summer,o-neck,full,natural,mix,worsted,lace,patchwork
bohemian,Average,4.6,M,Spring,o-neck,sleevless,natural,shiffon,shiffon,sashes,solid
party,Average,4.8,M,Summer,o-neck,full,,cotton,,,solid
bohemian,Low,4.6,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,beading,solid
party,very-high,4.6,free,Summer,o-neck,sleevless,empire,rayon,,hollowout,solid
cute,Low,4.8,M,Spring,o-neck,short,natural,shiffon,shiffon,bow,dot
vintage,Average,0.0,M,Spring,o-neck,halfsleeve,empire,polyster,,lace,animal
Casual,Medium,4.9,L,Winter,o-neck,short,natural,cotton,broadcloth,sashes,solid
Casual,Average,4.2,free,Summer,o-neck,sleevless,natural,cotton,worsted,,striped
Casual,Average,4.9,M,Summer,o-neck,short,dropped,cotton,,ruffles,patchwork
bohemian,Low,5.0,XL,Spring,v-neck,thressqatar,natural,,shiffon,,print
Casual,Average,4.7,M,Summer,o-neck,sleevless,,cotton,,,dot
Casual,Average,0.0,free,Summer,bowneck,halfsleeve,,cotton,,,
Casual,Average,0.0,free,Summer,o-neck,sleevless,natural,cotton,,lace,floral
Sexy,Medium,0.0,free,winter,o-neck,sleevless,natural,polyster,,sequined,solid
Sexy,low,4.4,free,Automn,v-neck,sleevless,natural,cotton,worsted,lace,solid
Sexy,Average,0.0,free,Spring,v-neck,full,natural,cotton,wollen,lace,solid
Brief,Average,4.9,XL,Spring,slash-neck,full,natural,,,sashes,solid
Casual,Average,4.7,XL,Summer,v-neck,halfsleeve,natural,,broadcloth,,print
Casual,Average,0.0,free,Automn,v-neck,full,natural,cotton,,lace,solid
Casual,Average,4.8,M,Summer,v-neck,full,natural,,shiffon,,
Casual,Medium,4.9,L,Spring,sqare-collor,sleevless,empire,,,,print
party,Average,4.7,M,Spring,o-neck,halfsleeve,empire,,shiffon,,patchwork
Sexy,low,4.4,free,Summer,bowneck,sleevless,natural,viscos,,bow,solid
bohemian,Low,4.6,free,winter,o-neck,sleevless,empire,polyster,,,patchwork
Casual,Low,4.6,free,Autumn,o-neck,full,natural,rayon,,lace,solid
Sexy,Low,4.5,free,Summer,o-neck,sleevless,empire,cotton,,sashes,solid
Sexy,Low,0.0,free,winter,v-neck,,dropped,cotton,,lace,
Casual,Average,0.0,XL,Spring,bowneck,sleevless,natural,mix,,lace,solid
Sexy,Average,0.0,free,Autumn,o-neck,full,natural,polyster,sattin,hollowout,solid
Sexy,Low,4.8,free,Spring,v-neck,sleevless,natural,,,,striped
Brief,Low,4.7,free,Autumn,o-neck,sleevless,natural,,shiffon,sequined,solid
Sexy,high,5.0,M,Summer,v-neck,sleevless,natural,mix,,,striped
Casual,Average,4.6,L,Summer,bowneck,full,dropped,cotton,,,patchwork
cute,Medium,4.9,S,Summer,bowneck,sleevless,empire,,,bow,patchwork
Novelty,Average,4.9,M,Autumn,o-neck,short,natural,polyster,chiffon,none,print
Casual,Low,4.3,free,Spring,o-neck,full,,,chiffon,sashes,none
Casual,Low,4.7,S,Autumn,o-neck,sleevless,natural,cotton,,,solid
Casual,Average,4.8,L,Autumn,boat-neck,sleevless,natural,,,sashes,solid
cute,Average,4.5,L,winter,v-neck,sleevless,natural,polyster,jersey,sashes,solid
Casual,Average,4.4,free,Summer,o-neck,capsleeves,natural,cotton,,,solid
party,Average,0.0,M,Spring,o-neck,sleevless,,,chiffon,,solid
Sexy,Low,0.0,free,Summer,v-neck,sleevless,dropped,,,,
Casual,Low,4.8,L,Summer,v-neck,thressqatar,natural,cotton,,,print
work,Average,5.0,M,Summer,o-neck,sleveless,natural,,,,solid
Novelty,Average,5.0,free,Summer,o-neck,sleeveless,natural,,,,print
Casual,Low,4.6,free,Spring,v-neck,sleevless,natural,silk,chiffon,draped,solid
Casual,Average,4.5,M,Summer,o-neck,full,natural,cotton,,lace,solid
Casual,Average,4.5,L,Spring,boat-neck,thressqatar,natural,,dobby,lace,animal
Casual,Average,4.5,free,Autumn,o-neck,halfsleeve,natural,cotton,chiffon,hollowout,solid
cute,Low,0.0,M,Summer,boat-neck,short,,,chiffon,sashes,
party,Average,4.9,M,winter,o-neck,halfsleeve,,cotton,,lace,
Casual,Average,4.8,M,Summer,o-neck,halfsleeve,,,,,
Casual,Low,4.4,L,Summer,o-neck,sleevless,natural,cotton,chiffon,,solid
Casual,Average,4.3,M,winter,slash-neck,sleeveless,natural,polyster,,sashes,solid
cute,Average,4.7,L,Summer,o-neck,sleevless,natural,polyster,broadcloth,lace,solid
Sexy,Average,0.0,S,Summer,v-neck,sleevless,,,,,
Casual,Low,4.4,free,Summer,o-neck,sleevless,,,,,animal
cute,high,4.3,M,Spring,boat-neck,full,natural,polyster,terry,lace,solid
work,Average,4.8,M,winter,turndowncollor,full,natural,,,,solid
Casual,Average,4.6,M,Spring,o-neck,halfsleeve,natural,polyster,,lace,solid
Sexy,Low,0.0,free,Summer,v-neck,sleevless,empire,cotton,,,solid
Casual,high,4.9,XL,winter,v-neck,full,empire,cotton,,sequined,solid
Sexy,Low,0.0,free,winter,o-neck,sleevless,natural,lycra,chiffon,hollowout,solid
cute,Average,5.0,M,Autumn,v-neck,sleevless,natural,cotton,,,solid
cute,Low,0.0,free,Spring,v-neck,sleevless,natural,silk,worsted,lace,patchwork
Casual,Low,4.4,free,Summer,o-neck,full,natural,cotton,,pockets,solid
Casual,Average,0.0,L,Spring,o-neck,sleevless,natural,chiffonfabric,chiffon,sequined,solid
cute,Average,4.7,M,Spring,o-neck,full,natural,rayon,chiffon,beading,solid
Casual,Average,4.6,M,winter,v-neck,halfsleeve,natural,silk,chiffon,sashes,solid
Casual,Low,4.4,free,Summer,o-neck,full,natural,cotton,,,solid
Casual,Low,5.0,M,Automn,o-neck,sleevless,empire,,chiffon,,print
Casual,Average,0.0,free,winter,o-neck,short,natural,polyster,chiffon,cascading,solid
Sexy,Average,0.0,free,winter,slash-neck,sleevless,natural,cotton,broadcloth,sequined,solid
Casual,Low,4.4,M,Summer,o-neck,halfsleeve,empire,chiffonfabric,chiffon,bow,solid
cute,Average,0.0,L,Summer,o-neck,sleevless,empire,cotton,,lace,solid
Casual,Low,4.8,free,winter,bowneck,full,natural,polyster,chiffon,bow,solid
Casual,Average,5.0,L,Summer,o-neck,sleevless,natural,cotton,,,
cute,Average,4.6,M,Spring,o-neck,halfsleeve,natural,acrylic,chiffon,,
bohemian,Low,4.6,free,Summer,o-neck,sleevless,natural,cotton,chiffon,none,solid
Brief,Average,4.7,M,winter,o-neck,halfsleeve,natural,acrylic,chiffon,,striped
Casual,Low,4.7,M,Spring,o-neck,full,natural,polyster,,,solid
Sexy,Low,4.3,free,Summer,o-neck,full,empire,cotton,,,
Casual,Average,4.7,M,Summer,v-neck,full,empire,cotton,,lace,solid
Casual,Average,4.6,L,winter,boat-neck,sleevless,empire,silk,broadcloth,applique,print
Casual,Low,4.4,free,Summer,v-neck,short,empire,cotton,Corduroy,lace,solid
